3.730768440531171543e-02,-1.354543065497030782e-02,5.312345168573988641e-01,9.992038011550903320e-01,1.640569977462291718e-02,3.632368519902229309e-02,1.810829038731753826e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.080952659249305725e-01,-1.266815290847096875e+00,9.947471022605895996e-01,-5.212905406951904297e-01,-4.843308776617050171e-02,1.200311289229665235e+00,1.087672233581542969e+00,6.662715673446655273e-01,-1.933706700801849365e-01,2.369867414236068726e-01,1.428614854812622070e-01,3.835698664188385010e-01,-2.436827570199966431e-01,-2.533790767192840576e-01,-1.365034580230712891e-01,-4.707620739936828613e-01,-1.792784780263900757e-01,3.180117607116699219e-01,-5.346349440515041351e-03,2.665973901748657227e-01
3.571104930144631401e-02,3.322877896046548280e-03,5.328333836236986976e-01,9.988254904747009277e-01,2.775812335312366486e-02,3.890624642372131348e-02,-7.954931817948818207e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.951329976320266724e-02,-1.263621256747518018e+00,1.002086877822875977e+00,-5.212843418121337891e-01,-5.666362494230270386e-02,1.195780471959386304e+00,1.082628250122070312e+00,6.641660928726196289e-01,-1.860491037368774414e-01,1.788519620895385742e-01,1.903489232063293457e-01,3.774104416370391846e-01,-2.515948116779327393e-01,-2.152921259403228760e-01,-1.901627033948898315e-01,-5.333834886550903320e-01,-1.628949493169784546e-01,3.519660532474517822e-01,5.341154336929321289e-02,2.604937851428985596e-01
3.348403183879763295e-02,2.194429482201660023e-02,5.343155396345889985e-01,9.986236691474914551e-01,3.157693892717361450e-02,3.817672282457351685e-02,-1.720812357962131500e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.620331972837448120e-02,-1.256354079642568067e+00,1.003937125205993652e+00,-5.183538198471069336e-01,-6.709872186183929443e-02,1.194352881112370923e+00,1.079422593116760254e+00,6.582680344581604004e-01,-1.784113794565200806e-01,1.408533900976181030e-01,2.258282154798507690e-01,3.793793022632598877e-01,-2.596347033977508545e-01,-1.762322634458541870e-01,-2.300200611352920532e-01,-5.797125697135925293e-01,-2.008324861526489258e-01,4.026344716548919678e-01,5.842978879809379578e-02,2.361308783292770386e-01
3.136542646124996364e-02,3.836958983527364447e-02,5.355185198648408917e-01,9.986283779144287109e-01,3.048123605549335480e-02,3.438129648566246033e-02,-2.510219812393188477e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.660701453685760498e-02,-1.243159190812383130e+00,1.008843898773193359e+00,-5.165602564811706543e-01,-7.509399205446243286e-02,1.198214368024144605e+00,1.072339177131652832e+00,6.542425751686096191e-01,-1.694155931472778320e-01,1.169365495443344116e-01,2.532061636447906494e-01,3.851119577884674072e-01,-2.703512907028198242e-01,-1.436417549848556519e-01,-2.301261872053146362e-01,-6.015622019767761230e-01,-2.828341126441955566e-01,4.514583945274353027e-01,-9.288234636187553406e-03,1.996091753244400024e-01
2.922912348160576490e-02,5.293713486000820034e-02,5.362786137101926975e-01,9.986199736595153809e-01,3.156258165836334229e-02,2.917093224823474884e-02,-3.018379025161266327e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.686815738677978516e-02,-1.225705192485127881e+00,1.019217729568481445e+00,-5.177674293518066406e-01,-7.995948195457458496e-02,1.207145826020513013e+00,1.060069799423217773e+00,6.553050875663757324e-01,-1.548935472965240479e-01,8.752578496932983398e-02,2.769708335399627686e-01,3.768470883369445801e-01,-2.722613215446472168e-01,-1.144949793815612793e-01,-2.048912495374679565e-01,-6.012145876884460449e-01,-3.486307263374328613e-01,5.046082139015197754e-01,-9.417306631803512573e-02,1.860451847314834595e-01
2.699995480016852134e-02,6.625669792200429564e-02,5.367754751865310148e-01,9.985651969909667969e-01,3.454978764057159424e-02,2.371876500546932220e-02,-3.333602845668792725e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.688179194927215576e-02,-1.206774548688207105e+00,1.031290054321289062e+00,-5.185346007347106934e-01,-8.185067772865295410e-02,1.219702468314443067e+00,1.044890642166137695e+00,6.606806516647338867e-01,-1.383086889982223511e-01,5.295952782034873962e-02,2.976759970188140869e-01,3.586283326148986816e-01,-2.668180763721466064e-01,-8.730626851320266724e-02,-1.707068979740142822e-01,-5.830510854721069336e-01,-3.886442184448242188e-01,5.716644525527954102e-01,-1.774275600910186768e-01,1.815724074840545654e-01
2.487896206280724651e-02,7.812989461066370545e-02,5.369481954791328615e-01,9.984580278396606445e-01,3.765129297971725464e-02,1.907097175717353821e-02,-3.605833277106285095e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.704355895519256592e-02,-1.189107493558202222e+00,1.038677096366882324e+00,-5.161134004592895508e-01,-8.195615559816360474e-02,1.232987479367528394e+00,1.030830144882202148e+00,6.689418554306030273e-01,-1.242117136716842651e-01,1.922977901995182037e-02,3.147106170654296875e-01,3.391951620578765869e-01,-2.600163519382476807e-01,-6.295131891965866089e-02,-1.347463726997375488e-01,-5.461164712905883789e-01,-4.049839079380035400e-01,6.426501870155334473e-01,-2.513965368270874023e-01,1.823468208312988281e-01
2.300609385876944621e-02,8.833812580566213768e-02,5.366151691649598821e-01,9.983035326004028320e-01,4.015804454684257507e-02,1.578263193368911743e-02,-3.909295424818992615e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.788577258586883545e-02,-1.174193636575017408e+00,1.039053201675415039e+00,-5.098451375961303711e-01,-8.170117437839508057e-02,1.245349333682332471e+00,1.019817352294921875e+00,6.789715290069580078e-01,-1.157876253128051758e-01,-1.114100497215986252e-02,3.296882510185241699e-01,3.249413967132568359e-01,-2.564507126808166504e-01,-4.185806587338447571e-02,-9.645107388496398926e-02,-4.948755502700805664e-01,-4.148813486099243164e-01,7.078414559364318848e-01,-3.171167373657226562e-01,1.866783946752548218e-01
2.052795468824868477e-02,9.968736448409881712e-02,5.357244140790267117e-01,9.981092810630798340e-01,4.191984236240386963e-02,1.359953638166189194e-02,-4.284555092453956604e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.875649958848953247e-02,-1.163433686890874341e+00,1.035000801086425781e+00,-5.014532208442687988e-01,-8.141780644655227661e-02,1.256136165061269239e+00,1.012801885604858398e+00,6.911572813987731934e-01,-1.142973676323890686e-01,-3.712696209549903870e-02,3.441760838031768799e-01,3.206179141998291016e-01,-2.592576742172241211e-01,-2.116041630506515503e-02,-5.690576508641242981e-02,-4.274632930755615234e-01,-4.169858098030090332e-01,7.571337819099426270e-01,-3.686622977256774902e-01,1.971512734889984131e-01
1.840814784592525663e-02,1.095373515794147712e-01,5.343633698694634226e-01,9.978837966918945312e-01,4.286921769380569458e-02,1.248725410550832748e-02,-4.726732522249221802e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.890236705541610718e-02,-1.158036545911107495e+00,1.030336141586303711e+00,-4.924503266811370850e-01,-8.072217553853988647e-02,1.264649436869893506e+00,1.009447336196899414e+00,7.051245570182800293e-01,-1.205438748002052307e-01,-5.804307013750076294e-02,3.581583201885223389e-01,3.281700611114501953e-01,-2.685288786888122559e-01,6.770798936486244202e-04,-1.803667843341827393e-02,-3.443469107151031494e-01,-4.104843139648437500e-01,7.832411527633666992e-01,-4.000675678253173828e-01,2.109334915876388550e-01
